SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SUB_POPULATION,GRADE,FSA_SKILL_CODE,NUMBER_EXPECTED_WRITERS,NUMBER_WRITERS,NUMBER_UNKNOWN,NUMBER_EMERGING,NUMBER_ONTRACK,NUMBER_EXTENDING,SCORE
2007,District Level,BC Public School,33,Chilliwack,All Students,4,Numeracy,833,767,59,176,512,79,488.1604
2007,District Level,BC Public School,33,Chilliwack,Indigenous,4,Numeracy,151,136,10,10,71,10,448.5735
2007,District Level,BC Public School,33,Chilliwack,Non Indigenous,4,Numeracy,682,631,10,10,441,10,496.6926
2007,District Level,BC Public School,33,Chilliwack,Diverse Abilities,4,Numeracy,73,44,28,10,20,10,481.4545
2007,District Level,BC Public School,33,Chilliwack,Non Diverse Abilities,4,Numeracy,760,723,10,10,492,10,488.5685
2007,District Level,BC Public School,34,Abbotsford,All Students,4,Numeracy,1405,1333,57,231,869,233,510.8905
2007,District Level,BC Public School,34,Abbotsford,Indigenous,4,Numeracy,190,179,10,38,120,21,481.5363
2007,District Level,BC Public School,34,Abbotsford,Non Indigenous,4,Numeracy,1215,1154,47,193,749,212,515.4437
2007,District Level,BC Public School,34,Abbotsford,Diverse Abilities,4,Numeracy,93,67,25,18,37,12,495.7761
2007,District Level,BC Public School,34,Abbotsford,Non Diverse Abilities,4,Numeracy,1312,1266,32,213,832,221,511.6904
2007,District Level,BC Public School,35,Langley,All Students,4,Numeracy,1277,1242,26,280,821,141,485.6578
2007,District Level,BC Public School,35,Langley,Indigenous,4,Numeracy,159,154,10,10,103,10,457.7857
2007,District Level,BC Public School,35,Langley,Non Indigenous,4,Numeracy,1118,1088,10,10,718,10,489.6029
2007,District Level,BC Public School,35,Langley,Diverse Abilities,4,Numeracy,110,93,10,10,47,10,417.0538
2007,District Level,BC Public School,35,Langley,Non Diverse Abilities,4,Numeracy,1167,1149,10,10,774,10,491.2106
2007,District Level,BC Public School,36,Surrey,All Students,4,Numeracy,4883,4458,402,1346,2825,287,462.7281
2007,District Level,BC Public School,36,Surrey,Indigenous,4,Numeracy,322,283,38,124,149,10,429.6608
2007,District Level,BC Public School,36,Surrey,Non Indigenous,4,Numeracy,4561,4175,364,1222,2676,277,464.9696
2007,District Level,BC Public School,36,Surrey,Diverse Abilities,4,Numeracy,441,281,155,117,142,22,443.1103
2007,District Level,BC Public School,36,Surrey,Non Diverse Abilities,4,Numeracy,4442,4177,247,1229,2683,265,464.0479
2007,District Level,BC Public School,37,Delta,All Students,4,Numeracy,1174,1050,10,10,710,10,489.6524
2007,District Level,BC Public School,37,Delta,Indigenous,4,Numeracy,51,45,10,10,33,10,453.0222
2007,District Level,BC Public School,37,Delta,Non Indigenous,4,Numeracy,1123,1005,10,10,677,10,491.2925
2007,District Level,BC Public School,37,Delta,Diverse Abilities,4,Numeracy,164,108,55,10,71,10,495.2315
2007,District Level,BC Public School,37,Delta,Non Diverse Abilities,4,Numeracy,1010,942,10,10,639,10,489.0127
2007,District Level,BC Public School,38,Richmond,All Students,4,Numeracy,1548,1353,10,10,906,10,522.1242
2007,District Level,BC Public School,38,Richmond,Indigenous,4,Numeracy,25,17,5,5,14,5,459.7647
2007,District Level,BC Public School,38,Richmond,Non Indigenous,4,Numeracy,1523,1336,10,10,892,10,522.9177
2007,District Level,BC Public School,38,Richmond,Diverse Abilities,4,Numeracy,110,71,38,29,10,10,461.0423
2007,District Level,BC Public School,38,Richmond,Non Diverse Abilities,4,Numeracy,1438,1282,10,10,883,10,525.507
2007,District Level,BC Public School,39,Vancouver,All Students,4,Numeracy,3720,2958,717,710,1885,363,486.3147
2007,District Level,BC Public School,39,Vancouver,Indigenous,4,Numeracy,150,101,47,61,10,10,393.9703
2007,District Level,BC Public School,39,Vancouver,Non Indigenous,4,Numeracy,3570,2857,670,10,1846,10,489.5793
2007,District Level,BC Public School,39,Vancouver,Diverse Abilities,4,Numeracy,316,115,197,57,46,12,430.3391
2007,District Level,BC Public School,39,Vancouver,Non Diverse Abilities,4,Numeracy,3404,2843,520,653,1839,351,488.579
2007,District Level,BC Public School,40,New Westminster,All Students,4,Numeracy,452,404,10,10,276,10,491.2871
2007,District Level,BC Public School,40,New Westminster,Indigenous,4,Numeracy,31,28,5,5,19,5,431.9643
2007,District Level,BC Public School,40,New Westminster,Non Indigenous,4,Numeracy,421,376,10,10,257,10,495.7048
2007,District Level,BC Public School,40,New Westminster,Diverse Abilities,4,Numeracy,31,19,12,5,13,5,455.4211
2007,District Level,BC Public School,40,New Westminster,Non Diverse Abilities,4,Numeracy,421,385,35,10,263,10,493.0571
2007,District Level,BC Public School,41,Burnaby,All Students,4,Numeracy,1658,1339,279,263,854,222,505.2599
2007,District Level,BC Public School,41,Burnaby,Indigenous,4,Numeracy,76,49,24,10,25,10,437.2245
2007,District Level,BC Public School,41,Burnaby,Non Indigenous,4,Numeracy,1582,1290,255,10,829,10,507.8442
2007,District Level,BC Public School,41,Burnaby,Diverse Abilities,4,Numeracy,162,68,88,19,27,22,526.6765
2007,District Level,BC Public School,41,Burnaby,Non Diverse Abilities,4,Numeracy,1496,1271,191,244,827,200,504.1141
2007,District Level,BC Public School,42,Maple Ridge-Pitt Meadows,All Students,4,Numeracy,1016,962,50,292,600,70,463.4189
2007,District Level,BC Public School,42,Maple Ridge-Pitt Meadows,Indigenous,4,Numeracy,99,92,10,10,55,10,446.4891
2007,District Level,BC Public School,42,Maple Ridge-Pitt Meadows,Non Indigenous,4,Numeracy,917,870,10,10,545,10,465.2092
2007,District Level,BC Public School,42,Maple Ridge-Pitt Meadows,Diverse Abilities,4,Numeracy,77,61,15,29,22,10,444.9016
2007,District Level,BC Public School,42,Maple Ridge-Pitt Meadows,Non Diverse Abilities,4,Numeracy,939,901,35,263,578,60,464.6726
2007,District Level,BC Public School,43,Coquitlam,All Students,4,Numeracy,2054,1879,159,379,1257,243,496.6823
2007,District Level,BC Public School,43,Coquitlam,Indigenous,4,Numeracy,132,113,10,10,77,10,462.5221
2007,District Level,BC Public School,43,Coquitlam,Non Indigenous,4,Numeracy,1922,1766,10,10,1180,10,498.8681
2007,District Level,BC Public School,43,Coquitlam,Diverse Abilities,4,Numeracy,322,245,74,52,117,76,533.6898
2007,District Level,BC Public School,43,Coquitlam,Non Diverse Abilities,4,Numeracy,1732,1634,85,327,1140,167,491.1334
2007,District Level,BC Public School,44,North Vancouver,All Students,4,Numeracy,1127,968,149,208,636,124,492.439
2007,District Level,BC Public School,44,North Vancouver,Indigenous,4,Numeracy,39,25,14,5,16,5,467.36
2007,District Level,BC Public School,44,North Vancouver,Non Indigenous,4,Numeracy,1088,943,135,10,620,10,493.1039
2007,District Level,BC Public School,44,North Vancouver,Diverse Abilities,4,Numeracy,168,120,48,30,57,33,516.0417
2007,District Level,BC Public School,44,North Vancouver,Non Diverse Abilities,4,Numeracy,959,848,101,178,579,91,489.0991
2007,District Level,BC Public School,45,West Vancouver,All Students,4,Numeracy,429,403,10,10,280,10,537.9975
2007,District Level,BC Public School,45,West Vancouver,Diverse Abilities,4,Numeracy,29,24,5,5,15,5,538.625
2007,District Level,BC Public School,45,West Vancouver,Non Diverse Abilities,4,Numeracy,400,379,10,10,265,10,537.9578
2007,District Level,BC Public School,46,Sunshine Coast,All Students,4,Numeracy,231,216,10,10,159,10,477.0833
2007,District Level,BC Public School,46,Sunshine Coast,Indigenous,4,Numeracy,37,32,5,5,26,5,466.5313
2007,District Level,BC Public School,46,Sunshine Coast,Non Indigenous,4,Numeracy,194,184,10,10,133,10,478.9185
2007,District Level,BC Public School,46,Sunshine Coast,Diverse Abilities,4,Numeracy,37,26,5,5,16,5,443.3846
2007,District Level,BC Public School,46,Sunshine Coast,Non Diverse Abilities,4,Numeracy,194,190,10,10,143,10,481.6947
2007,District Level,BC Public School,47,Powell River,All Students,4,Numeracy,157,137,10,10,88,10,450.3577
2007,District Level,BC Public School,47,Powell River,Indigenous,4,Numeracy,29,23,5,5,15,5,437.7391
2007,District Level,BC Public School,47,Powell River,Non Indigenous,4,Numeracy,128,114,10,10,73,10,452.9035
2007,District Level,BC Public School,47,Powell River,Diverse Abilities,4,Numeracy,21,5,5,5,5,5,420.7778
2007,District Level,BC Public School,47,Powell River,Non Diverse Abilities,4,Numeracy,136,10,10,10,10,10,452.4375
2007,District Level,BC Public School,48,Sea to Sky,All Students,4,Numeracy,299,280,10,10,176,10,474.0143
2007,District Level,BC Public School,48,Sea to Sky,Indigenous,4,Numeracy,48,39,5,5,22,5,461.8974
2007,District Level,BC Public School,48,Sea to Sky,Non Indigenous,4,Numeracy,251,241,10,10,154,10,475.9751
2007,District Level,BC Public School,48,Sea to Sky,Diverse Abilities,4,Numeracy,26,14,5,5,5,5,395.7857
2007,District Level,BC Public School,48,Sea to Sky,Non Diverse Abilities,4,Numeracy,273,266,10,10,10,10,478.1316
2007,District Level,BC Public School,49,Central Coast,All Students,4,Numeracy,13,5,5,5,5,5,356.8182
2007,District Level,BC Public School,50,Haida Gwaii,All Students,4,Numeracy,52,44,10,10,26,10,465.3636
2007,District Level,BC Public School,50,Haida Gwaii,Indigenous,4,Numeracy,28,21,5,5,10,5,445.1429
2007,District Level,BC Public School,50,Haida Gwaii,Non Indigenous,4,Numeracy,24,23,5,5,16,5,483.8261
2007,District Level,BC Public School,51,Boundary,All Students,4,Numeracy,105,102,10,10,57,10,468.5294
2007,District Level,BC Public School,51,Boundary,Indigenous,4,Numeracy,31,30,5,5,16,5,466.6
2007,District Level,BC Public School,51,Boundary,Non Indigenous,4,Numeracy,74,72,10,10,41,10,469.3333
2007,District Level,BC Public School,52,Prince Rupert,All Students,4,Numeracy,177,161,10,10,80,10,422.3851
2007,District Level,BC Public School,52,Prince Rupert,Indigenous,4,Numeracy,117,104,10,53,10,10,416.2596
2007,District Level,BC Public School,52,Prince Rupert,Non Indigenous,4,Numeracy,60,57,10,10,31,10,433.5614
2007,District Level,BC Public School,52,Prince Rupert,Diverse Abilities,4,Numeracy,39,25,5,16,5,5,397.8
2007,District Level,BC Public School,52,Prince Rupert,Non Diverse Abilities,4,Numeracy,138,136,10,62,10,10,426.9044
2007,District Level,BC Public School,53,Okanagan Similkameen,All Students,4,Numeracy,217,203,10,10,141,10,466.6552
2007,District Level,BC Public School,53,Okanagan Similkameen,Indigenous,4,Numeracy,54,52,10,10,40,10,451.6346
2007,District Level,BC Public School,53,Okanagan Similkameen,Non Indigenous,4,Numeracy,163,151,10,10,101,10,471.8278
2007,District Level,BC Public School,53,Okanagan Similkameen,Diverse Abilities,4,Numeracy,20,15,5,5,5,5,450.0667
2007,District Level,BC Public School,53,Okanagan Similkameen,Non Diverse Abilities,4,Numeracy,197,188,10,10,10,10,467.9787
2007,District Level,BC Public School,54,Bulkley Valley,All Students,4,Numeracy,146,130,14,27,89,14,487.2538
2007,District Level,BC Public School,54,Bulkley Valley,Indigenous,4,Numeracy,35,30,5,5,18,5,461.4667
2007,District Level,BC Public School,54,Bulkley Valley,Non Indigenous,4,Numeracy,111,100,10,10,71,10,494.99
2007,District Level,BC Public School,54,Bulkley Valley,Diverse Abilities,4,Numeracy,14,5,5,5,5,5,540.1667
2007,District Level,BC Public School,54,Bulkley Valley,Non Diverse Abilities,4,Numeracy,132,10,10,10,10,10,484.6935
2007,District Level,BC Public School,57,Prince George,All Students,4,Numeracy,1027,949,73,323,585,41,450.5395
2007,District Level,BC Public School,57,Prince George,Indigenous,4,Numeracy,313,281,10,10,151,10,426.274
2007,District Level,BC Public School,57,Prince George,Non Indigenous,4,Numeracy,714,668,10,10,434,10,460.747
2007,District Level,BC Public School,57,Prince George,Diverse Abilities,4,Numeracy,64,27,34,18,10,10,397.6667
2007,District Level,BC Public School,57,Prince George,Non Diverse Abilities,4,Numeracy,963,922,39,305,10,10,452.0879
2007,District Level,BC Public School,58,Nicola-Similkameen,All Students,4,Numeracy,169,157,10,10,81,10,436.3758
